5FEA 294 375
602B 80 83
606B 67 313
60DD 31 304
60EE 54 56
614A 242 244
5C22 352 323
5C28 182 187
5B56 179 385
5B5B 10 19
5B71 23 30
8D23 362 367
8D32 11 13
8D3E 123 96
8D5A 380 389
8D63 87 94
7118 58 305
719F 285 284
957F 31 369
8F66 33 133
8F67 343 85 366
8F6C 380 379
73F2 120 121
8F97 208 368
6B96 374 283
5377 134 250
65BC 328 353
65C1 226 8
620F 329 115 120
620C 339 249
6241 14 232
7085 131 101
7094 251 101
7095 140 107
709C 324 120
70AE 227 9
70D9 159 178
710C 136 249
712F 384 32
7187 109 141
71A8 356 353
71E5 361 271
89C1 124 331
89C9 127 135
672F 285 377
6734 233 237 239
6753 279 15
6755 61 73
6749 277 275
6777 223 5
677B 214 38
679E 47 386
67DC 101 133
67CF 6 19
67C8 225 7
67B9 9 83
67E5 28 366
67B8 95 133
680E 163 355
6805 277 366
67DA 352 377
67F4 29 367
681D 97 154
6867 101 120
6841 112 107
6838 109 115
6821 127 333
6854 133 128
6816 240 329
68D3 8 10
6911 10 231
690E 382 43
695B 115 147
68F1 162 170
6942 366 28
69CE 28 366
6964 47 294
696F 72 291
6977 138 128
6939 281 372
69DF 17 18
69DB 124 139
6A21 195 197
6A18 304 35
725F 196 197
728D 124 242
6566 72 71
6581 347 69
6B38 1 394
6B3B 339
6B59 329 280
6633 64 347
667B 2 344
66B4 9 239
66DD 239 9
6C0F 283 374
6C13 182 187
795D 377 376
7985 30 277
6332 300 275
6469 195 179
6BB7 348 344
6C93 54 301
73A2 17 81
73E9 112 107
7422 384 392
5FD2 306 317
601D 293 268
6076 74 328
611F 87 106
6206 88 381
66FE 365 27
808B 160 161
80AE 3 107
80B2 353 350
8109 180 195
80D6 225 226
80FA 2 74
812F 83 239
811A 127 135
814C 344 0
671D 370 32
814A 155 329
8180 8 226
81C2 13 10
81D1 202 76
722A 370 378
7684 59 61
768B 89 108
79CD 375 37
79D8 188 13
79F0 35 34
7A3D 91 240
94A5 219 355
94BF 62 309
94C5 242 344
94DB 57 35
94EB 63 219
94E4 312 65
94E3 329 331
94FB 328 353
9550 89 108
9566 71 72
77DC 129 99 245
76DB 282 35
76D6 86 90
7701 282 336
7729 340 118
7740 384 370 371
7765 13 231
7762 298 120
759F 203 219
75B8 56 54
7625 53 29
7608 374 36
765E 156 155
9E1F 210 63
9E44 115 96 109
9E58 96 115
77F3 283 56
7809 339 116
780C 240 244
784C 178 90
788C 174 171
78C5 8 226
796D 91 367
753A 312 65
753E 358 385
755C 39 339
756A 78 225
756C 280 353
7387 287 403
7AA8 348 342
88AB 10 231
88A2 78 225
889C 320 195
88E8 13 231
891A 39 371 377
88FC 329 308
890A 14 232
892A 317 318
8936 371 329
5361 137 241
4E32 41 99
81E7 360 24
866B 37 120
867E 330 104
868C 8 12
86C6 133 249
86C7 280 347
86E4 90 104
86FE 74 347
86F8 333 279
8721 155 366
4E50 160 355
8764 248 352
87AB 283 371
4E58 35 282
87B2 64 374
4E86 160 167
4E01 65 373
8821 163 178
4E07 322 195
65E0 328 195
4E14 244 133
8019 5 223
7C98 208 368
7CA5 376 353
7CB9 51 298
7CC1 269 281
7CDC 188 185
7CFB 329 91
7D5C 128 334
7DAE 246 240
4E5C 191 211
7E41 78 237
7E47 219 352 376
9F50 240 91
8272 272 276
8983 303 245
884C 107 112 336
88F3 31 278
890E 338 352
516D 171 174
7FDF 61 367
822C 7 19 225
5176 240 91
8233 377 376
7B2E 362 392
7B74 26 123
7B60 356 136
7B84 224 13
7BF9 389 380
7C67 133 249
5319 36 283
81ED 38 338
51AF 82 236
8C37 96 353
89D2 127 135
89E3 128 334
89DC 385 390
91CD 375 37
535C 20 19
8F9F 13 231
5382 31 2
538C 344 343
5395 26 293
9166 237 77
53A6 275 330
917E 283 276
8C89 109 108
8D84 133 244
8DA3 249 49
8DB5 9 19
8DDE 163 178
514D 189 325
9F9F 101 136 248
5238 250 340
8E21 250 134
8E26 240 347
8E4A 329 240
8E62 61 374
8E74 49 132
8E72 72 52
8E85 377 384
5212 116 117
5228 9 227
5239 28 275
931E 44 71
939E 13 231
524A 333 341
5265 9 19
5261 277 344
9753 166 130
98DF 283 293 347
9932 1 109
9C85 5 19
9C91 101 116 334
527F 127 32
9CAD 246 373
9CDC 101 135
9732 174 173
96BD 134 136
96C0 251 126
96C7 96 115
98C2 171 167
9769 90 91
9798 126 279
9B44 237 19 319
4E9F 91 240
9B32 90 163
533A 222 249
9E83 15 227
9E87 136 252
90A3 198 203 204 220
90AA 334 346
963F 0 74
9642 10 231 237
9EF5 56 368
9F0C 32 370
963D 62 344
9646 174 171
FA0D 96 115
888C 9 227
964C 195 6
7FAC 242 331
7F99 89 185
90C7 342 118
964D 125 332
90FD 69 68
9676 305 219
9697 324 152
9142 359 53
5179 385 46
536C 3 345
5185 204 198
5192 183 195
52A9 377 39
52B2 129 130
52D2 160 161
4F1A 120 149
4EC7 38 248
4EC0 283 281
4EE1 347 90
4ED4 358 385
4EF0 345 3
4F27 24 34
4F20 41 380
4EFF 79 226
4EF7 123 128
4F3C 293 283
4F41 347 1
4F2F 19 5 6
4F34 7 225
4F3A 46 293
4F43 62 309
4F5B 405 83
4F3D 123 85 244
4FA7 26 362 367
4F97 67 313
4F74 76 199
4FA5 127 219
4FBF 14 232
4FDB 83 189
4FE9 164 166
4FDF 293 240
4FBB 317 319
5018 304 31
4FF6 39 308
501E 166 130
5029 242 246
5072 22 293
5048 91 128
5047 123 330
507B 173 403
50EE 313 381
5355 56 30 277
5352 388 49
5357 200 198
53BF 331 340
53C2 23 398 269 281
4EA1 323 328
4EB2 245 246
4EB9 324 186
8BC6 283 374
8BF4 292 290 319 355
8C03 63 310 376
8BFB 69 68
8C01 290
8C1C 188 185
53D1 77 80
827E 1 347
827F 199 258
828D 279 251
8298 13 231
82BE 80 83
82A5 128 86
82B4 328 115
82E3 133 249
82A7 339 377
82AB 354 344
82E6 147 96
8304 244 123
82F4 133 388
82E5 266 256
82D5 310 279
8308 385 46
8364 121 342
8360 91 240
8368 242 342
831C 242 329
835B 255 219
8351 347 308
8365 336 349
831D 29 374
83A9 83 233
839E 99 322
83A8 158 166
83AB 195 197
838E 300 275
8398 281 335
837C 315 285
83C6 50 387
83C0 322 353
846D 123 330
843D 178 155 159
845A 281 257
84C2 193 188
84FC 167 174
8513 181 322
851A 324 353
8543 78 19
8549 127 126
8584 9 19
85CF 360 24
85C9 128 91
5C6F 318 383
5F77 226 79
5F97 59
5FBC 127 219
8FD8 118 105
8FD9 371
8FEB 237 224
9057 347 324
5C06 125 243
5C09 324 353
5927 54 55
592D 219 4
592F 107 11
5939 123 85
5947 240 91
5951 240 334
5958 360 381
5962 280 275
5DEE 28 46 29
5F39 56 303
5F3A 243 125
5F04 215 172
5E7F 100 2
5E95 61 59
5EA6 69 73
5EB6 285 377
5EC6 101 120 324
5ED1 129 245
5F52 101 152
5E31 38 58
5E62 381 42
53ED 5 223
53E8 58 305
53E5 133 95
53F6 346 280 334
5416 343 0
5408 109 90
5413 330 109
5401 339 353
5457 10 6
5421 231 13
5454 55 302
5426 84 231
542D 107 144
5450 198 203
5458 354 356
5431 374 385
5475 109 0 104 142
5477 330 85
5496 137 85
5471 97 96
548C 109 115 122
5480 133 390
5476 202 216
5462 203 207
548B 357 362 366
9EFE 192 187
54A4 28 366
54A5 64 329
54AF 90 137 178
54CF 92 111
54B3 142 105
54D5 355 120
54EA 198 199 203 204
54BD 344 346
54E6 221 74
551D 94 113
54E9 163
555C 45 40
5550 51 240
552C 115 330
558F 220 256
5551 275 308
5541 376 370
55B3 366 28
55D2 54 301
558B 64 366
5581 351 353
55C4 275 0
55CC 347 1
55D4 34 309
55E8 105 110
55DB 331 242
561A 59
560F 96 123
